XCoord 3.535547, YCoord 3.754205, XVel 0.000035, YVel 0.000038, Mass 100000000.000000, AccelX -0.000000, AccelY 0.000000
XCoord -900754.625000, YCoord 899238.187500, XVel -9.008090, YVel 8.991644, Mass 901.000000, AccelX 0.000000, AccelY -0.000000
XCoord -910751.312500, YCoord 909246.187500, XVel -9.107923, YVel 9.091819, Mass 911.000000, AccelX 0.000000, AccelY -0.000000
XCoord -920660.250000, YCoord 919248.437500, XVel -9.207764, YVel 9.191982, Mass 921.000000, AccelX 0.000000, AccelY -0.000000
XCoord -930657.625000, YCoord 929252.062500, XVel -9.307612, YVel 9.292141, Mass 931.000000, AccelX 0.000000, AccelY -0.000000
XCoord -940656.500000, YCoord 939341.000000, XVel -9.407472, YVel 9.392284, Mass 941.000000, AccelX 0.000000, AccelY -0.000000
XCoord -950650.312500, YCoord 949343.437500, XVel -9.507341, YVel 9.492416, Mass 951.000000, AccelX 0.000000, AccelY -0.000000
XCoord -960649.375000, YCoord 959344.500000, XVel -9.607235, YVel 9.592528, Mass 961.000000, AccelX 0.000000, AccelY -0.000000
XCoord -970647.437500, YCoord 969350.375000, XVel -9.707163, YVel 9.692602, Mass 971.000000, AccelX 0.000000, AccelY -0.000000
XCoord -980647.125000, YCoord 979345.625000, XVel -9.807188, YVel 9.792577, Mass 981.000000, AccelX 0.000000, AccelY -0.000000
XCoord -990655.937500, YCoord 989260.062500, XVel -9.907711, YVel 9.892035, Mass 991.000000, AccelX 0.000000, AccelY -0.000000
